id,name,location_id/id
location_gbj_1,C1,__export__.stock_location_996
location_gbj_2,C2,__export__.stock_location_996
location_gbj_3,C3,__export__.stock_location_996
location_gbj_4,C4,__export__.stock_location_996
location_gbj_5,C5,__export__.stock_location_996
location_gbj_6,C6,__export__.stock_location_996
location_gbj_7,C7,__export__.stock_location_996
location_gbj_8,C8,__export__.stock_location_996
location_gbj_9,CR6,__export__.stock_location_996
location_gbj_10,F1,__export__.stock_location_996
location_gbj_11,F10,__export__.stock_location_996
location_gbj_12,F11,__export__.stock_location_996
location_gbj_13,F2,__export__.stock_location_996
location_gbj_14,F3,__export__.stock_location_996
location_gbj_15,F4,__export__.stock_location_996
location_gbj_16,F5,__export__.stock_location_996
location_gbj_17,F6,__export__.stock_location_996
location_gbj_18,F7,__export__.stock_location_996
location_gbj_19,F9,__export__.stock_location_996
location_gbj_20,G01.1.1,__export__.stock_location_996
location_gbj_21,G01.1.2,__export__.stock_location_996
location_gbj_22,G01.1.3,__export__.stock_location_996
location_gbj_23,G01.1.4,__export__.stock_location_996
location_gbj_24,G01.1.5,__export__.stock_location_996
location_gbj_25,G01.2.1,__export__.stock_location_996
location_gbj_26,G01.2.2,__export__.stock_location_996
location_gbj_27,G01.2.3,__export__.stock_location_996
location_gbj_28,G01.2.4,__export__.stock_location_996
location_gbj_29,G01.2.5,__export__.stock_location_996
location_gbj_30,G02.1.1,__export__.stock_location_996
location_gbj_31,G02.1.2,__export__.stock_location_996
location_gbj_32,G02.1.3,__export__.stock_location_996
location_gbj_33,G02.1.4,__export__.stock_location_996
location_gbj_34,G02.1.5,__export__.stock_location_996
location_gbj_35,G02.2.1,__export__.stock_location_996
location_gbj_36,G02.2.2,__export__.stock_location_996
location_gbj_37,G02.2.3,__export__.stock_location_996
location_gbj_38,G02.2.4,__export__.stock_location_996
location_gbj_39,G02.2.5,__export__.stock_location_996
location_gbj_40,G03.1.1,__export__.stock_location_996
location_gbj_41,G03.1.2,__export__.stock_location_996
location_gbj_42,G03.1.3,__export__.stock_location_996
location_gbj_43,G03.1.4,__export__.stock_location_996
location_gbj_44,G03.1.5,__export__.stock_location_996
location_gbj_45,G03.2.1,__export__.stock_location_996
location_gbj_46,G03.2.2,__export__.stock_location_996
location_gbj_47,G03.2.3,__export__.stock_location_996
location_gbj_48,G03.2.4,__export__.stock_location_996
location_gbj_49,G03.2.5,__export__.stock_location_996
location_gbj_50,G04.1.1,__export__.stock_location_996
location_gbj_51,G04.1.2,__export__.stock_location_996
location_gbj_52,G04.1.3,__export__.stock_location_996
location_gbj_53,G04.1.4,__export__.stock_location_996
location_gbj_54,G04.1.5,__export__.stock_location_996
location_gbj_55,G04.2.1,__export__.stock_location_996
location_gbj_56,G04.2.2,__export__.stock_location_996
location_gbj_57,G04.2.3,__export__.stock_location_996
location_gbj_58,G04.2.4,__export__.stock_location_996
location_gbj_59,G04.2.5,__export__.stock_location_996
location_gbj_60,G05.1.1,__export__.stock_location_996
location_gbj_61,G05.1.2,__export__.stock_location_996
location_gbj_62,G05.1.3,__export__.stock_location_996
location_gbj_63,G05.1.4,__export__.stock_location_996
location_gbj_64,G05.1.5,__export__.stock_location_996
location_gbj_65,G05.2.1,__export__.stock_location_996
location_gbj_66,G05.2.2,__export__.stock_location_996
location_gbj_67,G05.2.3,__export__.stock_location_996
location_gbj_68,G05.2.4,__export__.stock_location_996
location_gbj_69,G05.2.5,__export__.stock_location_996
location_gbj_70,G06.1.1,__export__.stock_location_996
location_gbj_71,G06.1.2,__export__.stock_location_996
location_gbj_72,G06.1.3,__export__.stock_location_996
location_gbj_73,G06.1.4,__export__.stock_location_996
location_gbj_74,G06.1.5,__export__.stock_location_996
location_gbj_75,G06.2.1,__export__.stock_location_996
location_gbj_76,G06.2.2,__export__.stock_location_996
location_gbj_77,G06.2.3,__export__.stock_location_996
location_gbj_78,G06.2.4,__export__.stock_location_996
location_gbj_79,G06.2.5,__export__.stock_location_996
location_gbj_80,G07.1.1,__export__.stock_location_996
location_gbj_81,G07.1.2,__export__.stock_location_996
location_gbj_82,G07.1.3,__export__.stock_location_996
location_gbj_83,G07.1.4,__export__.stock_location_996
location_gbj_84,G07.1.5,__export__.stock_location_996
location_gbj_85,G07.2.1,__export__.stock_location_996
location_gbj_86,G07.2.2,__export__.stock_location_996
location_gbj_87,G07.2.3,__export__.stock_location_996
location_gbj_88,G07.2.4,__export__.stock_location_996
location_gbj_89,G07.2.5,__export__.stock_location_996
location_gbj_90,G08.1.1,__export__.stock_location_996
location_gbj_91,G08.1.2,__export__.stock_location_996
location_gbj_92,G08.1.3,__export__.stock_location_996
location_gbj_93,G08.1.4,__export__.stock_location_996
location_gbj_94,G08.1.5,__export__.stock_location_996
location_gbj_95,G08.2.1,__export__.stock_location_996
location_gbj_96,G08.2.2,__export__.stock_location_996
location_gbj_97,G08.2.3,__export__.stock_location_996
location_gbj_98,G08.2.4,__export__.stock_location_996
location_gbj_99,G08.2.5,__export__.stock_location_996
location_gbj_100,G09.1.1,__export__.stock_location_996
location_gbj_101,G09.1.2,__export__.stock_location_996
location_gbj_102,G09.1.3,__export__.stock_location_996
location_gbj_103,G09.1.4,__export__.stock_location_996
location_gbj_104,G09.1.5,__export__.stock_location_996
location_gbj_105,G09.2.1,__export__.stock_location_996
location_gbj_106,G09.2.2,__export__.stock_location_996
location_gbj_107,G09.2.3,__export__.stock_location_996
location_gbj_108,G09.2.4,__export__.stock_location_996
location_gbj_109,G09.2.5,__export__.stock_location_996
location_gbj_110,G10.1.1,__export__.stock_location_996
location_gbj_111,G10.1.2,__export__.stock_location_996
location_gbj_112,G10.1.3,__export__.stock_location_996
location_gbj_113,G10.1.4,__export__.stock_location_996
location_gbj_114,G10.1.5,__export__.stock_location_996
location_gbj_115,G10.2.1,__export__.stock_location_996
location_gbj_116,G10.2.2,__export__.stock_location_996
location_gbj_117,G10.2.3,__export__.stock_location_996
location_gbj_118,G10.2.4,__export__.stock_location_996
location_gbj_119,G10.2.5,__export__.stock_location_996
location_gbj_120,G11.1.1,__export__.stock_location_996
location_gbj_121,G11.1.2,__export__.stock_location_996
location_gbj_122,G11.1.3,__export__.stock_location_996
location_gbj_123,G11.1.4,__export__.stock_location_996
location_gbj_124,G11.1.5,__export__.stock_location_996
location_gbj_125,G11.2.1,__export__.stock_location_996
location_gbj_126,G11.2.2,__export__.stock_location_996
location_gbj_127,G11.2.3,__export__.stock_location_996
location_gbj_128,G11.2.4,__export__.stock_location_996
location_gbj_129,G11.2.5,__export__.stock_location_996
location_gbj_130,G12.1.1,__export__.stock_location_996
location_gbj_131,G12.1.2,__export__.stock_location_996
location_gbj_132,G12.1.3,__export__.stock_location_996
location_gbj_133,G12.1.4,__export__.stock_location_996
location_gbj_134,G12.1.5,__export__.stock_location_996
location_gbj_135,G12.2.1,__export__.stock_location_996
location_gbj_136,G12.2.2,__export__.stock_location_996
location_gbj_137,G12.2.3,__export__.stock_location_996
location_gbj_138,G12.2.4,__export__.stock_location_996
location_gbj_139,G12.2.5,__export__.stock_location_996
location_gbj_140,G13.1.1,__export__.stock_location_996
location_gbj_141,G14.1.1,__export__.stock_location_996
location_gbj_142,G15.1.1,__export__.stock_location_996
location_gbj_143,G16.1.1,__export__.stock_location_996
location_gbj_144,G17.1.1,__export__.stock_location_996
location_gbj_145,G18.1.1,__export__.stock_location_996
location_gbj_146,G19.1.1,__export__.stock_location_996
location_gbj_147,G20.1.1,__export__.stock_location_996
location_gbj_148,G21.1.1,__export__.stock_location_996
location_gbj_149,G22.1.1,__export__.stock_location_996
location_gbj_150,G23.1.1,__export__.stock_location_996
location_gbj_151,G24.1.1,__export__.stock_location_996
location_gbj_152,G25.1.1,__export__.stock_location_996
location_gbj_153,G26.1.1,__export__.stock_location_996
location_gbj_154,G27.1.1,__export__.stock_location_996
location_gbj_155,G28.1.1,__export__.stock_location_996
location_gbj_156,G29.1.1,__export__.stock_location_996
location_gbj_157,G30,__export__.stock_location_996
location_gbj_158,G31,__export__.stock_location_996
location_gbj_159,GANTI KODE,__export__.stock_location_996
location_gbj_160,I.01,__export__.stock_location_996
location_gbj_161,I.02,__export__.stock_location_996
location_gbj_162,I.03,__export__.stock_location_996
location_gbj_163,I.04,__export__.stock_location_996
location_gbj_164,I.05,__export__.stock_location_996
location_gbj_165,I.06,__export__.stock_location_996
location_gbj_166,I.07,__export__.stock_location_996
location_gbj_167,I.08,__export__.stock_location_996
location_gbj_168,I.09,__export__.stock_location_996
location_gbj_169,I.10,__export__.stock_location_996
location_gbj_170,I.11,__export__.stock_location_996
location_gbj_171,I.12,__export__.stock_location_996
location_gbj_172,I.13,__export__.stock_location_996
location_gbj_173,I.14,__export__.stock_location_996
location_gbj_174,I.15,__export__.stock_location_996
location_gbj_175,I.16,__export__.stock_location_996
location_gbj_176,I.17,__export__.stock_location_996
location_gbj_177,I.18,__export__.stock_location_996
location_gbj_178,I.19,__export__.stock_location_996
location_gbj_179,I.20,__export__.stock_location_996
location_gbj_180,I.21,__export__.stock_location_996
location_gbj_181,I.22,__export__.stock_location_996
location_gbj_182,I.23,__export__.stock_location_996
location_gbj_183,I.24,__export__.stock_location_996
location_gbj_184,I.25,__export__.stock_location_996
location_gbj_185,I.26,__export__.stock_location_996
location_gbj_186,I.27,__export__.stock_location_996
location_gbj_187,I.28,__export__.stock_location_996
location_gbj_188,I.29,__export__.stock_location_996
location_gbj_189,I.30,__export__.stock_location_996
location_gbj_190,I.31,__export__.stock_location_996
location_gbj_191,I.32,__export__.stock_location_996
location_gbj_192,I.33,__export__.stock_location_996
location_gbj_193,I.34,__export__.stock_location_996
location_gbj_194,I.35,__export__.stock_location_996
location_gbj_195,I.36,__export__.stock_location_996
location_gbj_196,I.37,__export__.stock_location_996
location_gbj_197,I.38,__export__.stock_location_996
location_gbj_198,I.39,__export__.stock_location_996
location_gbj_199,I.40,__export__.stock_location_996
location_gbj_200,I.41,__export__.stock_location_996
location_gbj_201,I.42,__export__.stock_location_996
location_gbj_202,I.43,__export__.stock_location_996
location_gbj_203,I.44,__export__.stock_location_996
location_gbj_204,I.45,__export__.stock_location_996
location_gbj_205,I.46,__export__.stock_location_996
location_gbj_206,I.47,__export__.stock_location_996
location_gbj_207,I.48,__export__.stock_location_996
location_gbj_208,I.49,__export__.stock_location_996
location_gbj_209,I.50,__export__.stock_location_996
location_gbj_210,K1500,__export__.stock_location_996
location_gbj_211,K1501,__export__.stock_location_996
location_gbj_212,K1502,__export__.stock_location_996
location_gbj_213,K1503,__export__.stock_location_996
location_gbj_214,K1504,__export__.stock_location_996
location_gbj_215,K1505,__export__.stock_location_996
location_gbj_216,K1506,__export__.stock_location_996
location_gbj_217,K1507,__export__.stock_location_996
location_gbj_218,K1508,__export__.stock_location_996
location_gbj_219,K1509,__export__.stock_location_996
location_gbj_220,K1510,__export__.stock_location_996
location_gbj_221,K1511,__export__.stock_location_996
location_gbj_222,K1512,__export__.stock_location_996
location_gbj_223,L01.1.1,__export__.stock_location_996
location_gbj_224,L01.1.2,__export__.stock_location_996
location_gbj_225,L01.1.3,__export__.stock_location_996
location_gbj_226,L01.1.4,__export__.stock_location_996
location_gbj_227,L01.1.5,__export__.stock_location_996
location_gbj_228,L02.1.1,__export__.stock_location_996
location_gbj_229,L02.1.2,__export__.stock_location_996
location_gbj_230,L02.1.3,__export__.stock_location_996
location_gbj_231,L02.1.4,__export__.stock_location_996
location_gbj_232,L02.1.5,__export__.stock_location_996
location_gbj_233,L03.1.1,__export__.stock_location_996
location_gbj_234,L03.1.2,__export__.stock_location_996
location_gbj_235,L03.1.3,__export__.stock_location_996
location_gbj_236,L03.1.4,__export__.stock_location_996
location_gbj_237,L03.1.5,__export__.stock_location_996
location_gbj_238,L04.1.1,__export__.stock_location_996
location_gbj_239,L04.1.2,__export__.stock_location_996
location_gbj_240,L04.1.3,__export__.stock_location_996
location_gbj_241,L04.1.4,__export__.stock_location_996
location_gbj_242,L04.1.5,__export__.stock_location_996
location_gbj_243,L05.1.1,__export__.stock_location_996
location_gbj_244,L05.1.2,__export__.stock_location_996
location_gbj_245,L05.1.3,__export__.stock_location_996
location_gbj_246,L05.1.4,__export__.stock_location_996
location_gbj_247,L05.1.5,__export__.stock_location_996
location_gbj_248,L06.1.1,__export__.stock_location_996
location_gbj_249,L06.1.2,__export__.stock_location_996
